V1,V2,V3
CharacterName,charactername,charactername
ClassLevel,class,class
Background,background,background
PlayerName,playername,playername
Race ,race,race
Alignment,alignment,alignment
XP,xp,xp
STR,strMod,strMod
STRmod,str,str
DEX,dexMod,dexMod
DEXmod ,dex,dex
CON,conMod,conMod
CONmod,con,con
INT,intMod,intMod
INTmod,int,int
WIS,wisMod,wisMod
WISmod,wis,wis
CHA,chaMod,chaMod
CHamod,cha,cha
Inspiration,inspiration,inspiration
ProfBonus,proficiency,proficiency
Check Box 11,strSaveProf,strSaveProf
ST Strength,strSave,strSave
Check Box 18,dexSaveProf,dexSaveProf
ST Dexterity,dexSave,dexSave
Check Box 19,conSaveProf,conSaveProf
ST Constitution,conSave,conSave
Check Box 20,intSaveProf,intSaveProf
ST Intelligence,intSave,intSave
Check Box 21,wisSaveProf,wisSaveProf
ST Wisdom,wisSave,wisSave
Check Box 22,chaSaveProf,chaSaveProf
ST Charisma,chaSave,chaSave
Check Box 23,acrobaticsProf,acrobaticsProf
Acrobatics,acrobatics,acrobatics
Check Box 24,animalProf,animalProf
Animal,animal,animal
Check Box 25,arcanaProf,arcanaProf
Arcana,arcana,arcana
Check Box 26,athleticsProf,athleticsProf
Athletics,athletics,athletics
Check Box 27,deceptionProf,deceptionProf
Deception ,deception,deception
Check Box 28,historyProf,historyProf
History ,history,history
Check Box 29,insightProf,insightProf
Insight,insight,insight
Check Box 30,intimidationProf,intimidationProf
Intimidation,intimidation,intimidation
Check Box 31,investigationProf,investigationProf
Investigation ,investigation,investigation
Check Box 32,medicineProf,medicineProf
Medicine,medicine,medicine
Check Box 33,natureProf,natureProf
Nature,nature,nature
Check Box 34,perceptionProf,perceptionProf
Perception ,perception,perception
Check Box 35,performanceProf,performanceProf
Performance,performance,performance
Check Box 36,persuasionProf,persuasionProf
Persuasion,persuasion,persuasion
Check Box 37,religionProf,religionProf
Religion,religion,religion
Check Box 38,sleightOfHandProf,sleightOfHandProf
SleightofHand,sleightOfHand,sleightOfHand
Check Box 39,stealthProf,stealthProf
Stealth ,stealth,stealth
Check Box 40,survivalProf,survivalProf
Survival,survival,survival
Passive,passivePerception,passivePerception
AC,ac,ac
Initiative,initiative,initiative
Speed,speed,speed
HPMax,hpMax,hpMax
HPCurrent,hpCurrent,hpCurrent
HPTemp,hpTemp,hpTemp
HDTotal,hitDiceTotal,hitDiceTotal
HD,hitDice,hitDice
Check Box 12,success1,success1
Check Box 13,success2,success2
Check Box 14,success3,success3
Check Box 15,failure1,failure1
Check Box 16,failure2,failure2
Check Box 17,failure3,failure3
Wpn Name,wpnName1,wpnName1
Wpn1 AtkBonus,wpnAtk1,wpnAtk1
Wpn1 Damage,wpnDmg1,wpnDmg1
Wpn Name 2,wpnName2,wpnName2
Wpn2 AtkBonus ,wpnAtk2,wpnAtk2
Wpn2 Damage ,wpnDmg2,wpnDmg2
Wpn Name 3,wpnName3,wpnName3
Wpn3 AtkBonus  ,wpnAtk3,wpnAtk3
Wpn3 Damage ,wpnDmg3,wpnDmg3
AttacksSpellcasting,attacksSpells,attacksSpells
PersonalityTraits ,traits,traits
Ideals,ideals,ideals
Bonds,bonds,bonds
Flaws,flaws,flaws
ProficienciesLang,langs,langs
CP,cp,cp
SP,sp,sp
EP,ep,ep
GP,gp,gp
PP,pp,pp
Equipment,equipment,equipment
Features and Traits,features,features
